Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH2
-1.338e-01,0.0143828
-1.336e-01,0.0179687
-1.334e-01,0.0129805
-1.333e-01,0.0250781
-1.331e-01,0.0206523
-1.330e-01,0.0175859
-1.328e-01,0.0281602
-1.326e-01,0.0240117
-1.325e-01,0.0230273
-1.323e-01,0.0270352
-1.322e-01,0.0228555
-1.320e-01,0.0235469
-1.318e-01,0.0211055
-1.317e-01,0.0312617
-1.315e-01,0.0216992
-1.314e-01,0.0262266
-1.312e-01,0.0210117
-1.310e-01,0.0200078
-1.309e-01,0.0187461
-1.307e-01,0.0196016
-1.306e-01,0.02125
-1.304e-01,0.0249961
-1.302e-01,0.0288711
-1.301e-01,0.0189453
-1.299e-01,0.0282422
-1.298e-01,0.025918
-1.296e-01,0.031375
-1.294e-01,0.0215352
-1.293e-01,0.0286328
-1.291e-01,0.0223477
-1.290e-01,0.0253945
-1.288e-01,0.0261992
-1.286e-01,0.0376914
-1.285e-01,0.0315469
-1.283e-01,0.031168
-1.282e-01,0.0264687
-1.280e-01,0.0253242
-1.278e-01,0.0340039
-1.277e-01,0.0372617
-1.275e-01,0.0257969
-1.274e-01,0.0314531
-1.272e-01,0.030582
-1.270e-01,0.0318516
-1.269e-01,0.0257578
-1.267e-01,0.030875
-1.266e-01,0.0278047
-1.264e-01,0.0381133
-1.262e-01,0.0387266
-1.261e-01,0.0307148
-1.259e-01,0.0286484
-1.258e-01,0.0324336
-1.256e-01,0.0363828
-1.254e-01,0.0508398
-1.253e-01,0.0374297
-1.251e-01,0.0349141
-1.250e-01,0.034082
-1.248e-01,0.0410117
-1.246e-01,0.0357383
-1.245e-01,0.0350703
-1.243e-01,0.0272422
-1.242e-01,0.0375273
-1.240e-01,0.0368359
-1.238e-01,0.0380742
-1.237e-01,0.0380352
-1.235e-01,0.0296055
-1.234e-01,0.0451953
-1.232e-01,0.0268437
-1.230e-01,0.0316562
-1.229e-01,0.0325273
-1.227e-01,0.0448945
-1.226e-01,0.0467695
-1.224e-01,0.039957
-1.222e-01,0.0351641
-1.221e-01,0.0355391
-1.219e-01,0.0358633
-1.218e-01,0.049168
-1.216e-01,0.0346523
-1.214e-01,0.0371133
-1.213e-01,0.04275
-1.211e-01,0.0337969
-1.210e-01,0.0289922
-1.208e-01,0.0423555
-1.206e-01,0.0341133
-1.205e-01,0.0371641
-1.203e-01,0.0361523
-1.202e-01,0.0353164
-1.200e-01,0.035
-1.198e-01,0.0358164
-1.197e-01,0.0337227
-1.195e-01,0.036207
-1.194e-01,0.039207
-1.192e-01,0.0426094
-1.190e-01,0.0369453
-1.189e-01,0.0205508
-1.187e-01,0.036375
-1.186e-01,0.0325391
-1.184e-01,0.0335625
-1.182e-01,0.0336758
-1.181e-01,0.0384609
-1.179e-01,0.0366992
-1.178e-01,0.03625
-1.176e-01,0.0324766
-1.174e-01,0.0346211
-1.173e-01,0.0330703
-1.171e-01,0.0374961
-1.170e-01,0.0376289
-1.168e-01,0.0337383
-1.166e-01,0.0376289
-1.165e-01,0.0381367
-1.163e-01,0.0350742
-1.162e-01,0.0406094
-1.160e-01,0.0257773
-1.158e-01,0.0333047
-1.157e-01,0.029793
-1.155e-01,0.0342031
-1.154e-01,0.0344062
-1.152e-01,0.0322852
-1.150e-01,0.0391289
-1.149e-01,0.0377148
-1.147e-01,0.0363906
-1.146e-01,0.0352852
-1.144e-01,0.0340586
-1.142e-01,0.0367852
-1.141e-01,0.0413906
-1.139e-01,0.030957
-1.138e-01,0.0402539
-1.136e-01,0.0268477
-1.134e-01,0.0356562
-1.133e-01,0.0319023
-1.131e-01,0.0334883
-1.130e-01,0.0335508
-1.128e-01,0.0324219
-1.126e-01,0.041418
-1.125e-01,0.0399414
-1.123e-01,0.026543
-1.122e-01,0.0398242
-1.120e-01,0.0349883
-1.118e-01,0.0294141
-1.117e-01,0.045043
-1.115e-01,0.0387695
-1.114e-01,0.0265078
-1.112e-01,0.029082
-1.110e-01,0.0360195
-1.109e-01,0.0363477
-1.107e-01,0.0235352
-1.106e-01,0.0412422
-1.104e-01,0.0305039
-1.102e-01,0.0393281
-1.101e-01,0.0340391
-1.099e-01,0.0389023
-1.098e-01,0.0368477
-1.096e-01,0.0351914
-1.094e-01,0.0295312
-1.093e-01,0.0350547
-1.091e-01,0.0322344
-1.090e-01,0.0362773
-1.088e-01,0.0366875
-1.086e-01,0.0298828
-1.085e-01,0.0357578
-1.083e-01,0.0228477
-1.082e-01,0.0336172
-1.080e-01,0.033168
-1.078e-01,0.0428086
-1.077e-01,0.0300977
-1.075e-01,0.0269062
-1.074e-01,0.0308984
-1.072e-01,0.0272383
-1.070e-01,0.0364805
-1.069e-01,0.037582
-1.067e-01,0.0374219
-1.066e-01,0.029668
-1.064e-01,0.0342227
