Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8e-05
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH2
-5.6000e-02,0.644531
-5.5920e-02,1.14844
-5.5840e-02,0.933594
-5.5760e-02,0.75
-5.5680e-02,0.75
-5.5600e-02,0.652344
-5.5520e-02,0.644531
-5.5440e-02,0.589844
-5.5360e-02,1.20703
-5.5280e-02,1.79297
-5.5200e-02,3.76562
-5.5120e-02,6.30078
-5.5040e-02,5.3125
-5.4960e-02,2.67578
-5.4880e-02,1.07812
-5.4800e-02,0.738281
-5.4720e-02,0.582031
-5.4640e-02,0.667969
-5.4560e-02,0.546875
-5.4480e-02,0.628906
-5.4400e-02,0.867188
-5.4320e-02,1.05859
-5.4240e-02,1.08594
-5.4160e-02,0.75
-5.4080e-02,0.785156
-5.4000e-02,0.714844
-5.3920e-02,0.597656
-5.3840e-02,0.5625
-5.3760e-02,0.960938
-5.3680e-02,2.01562
-5.3600e-02,4.36719
-5.3520e-02,6.28125
-5.3440e-02,4.51562
-5.3360e-02,2.31641
-5.3280e-02,1.60938
-5.3200e-02,0.863281
-5.3120e-02,0.5625
-5.3040e-02,0.609375
-5.2960e-02,0.59375
-5.2880e-02,0.597656
-5.2800e-02,0.691406
-5.2720e-02,0.972656
-5.2640e-02,0.839844
-5.2560e-02,0.6875
-5.2480e-02,0.609375
-5.2400e-02,0.75
-5.2320e-02,0.714844
-5.2240e-02,0.75
-5.2160e-02,1.05469
-5.2080e-02,1.58203
-5.2000e-02,3.75391
-5.1920e-02,6.02344
-5.1840e-02,5.06641
-5.1760e-02,2.64844
-5.1680e-02,1.31641
-5.1600e-02,0.535156
-5.1520e-02,0.667969
-5.1440e-02,0.582031
-5.1360e-02,0.605469
-5.1280e-02,0.59375
-5.1200e-02,0.71875
-5.1120e-02,1.12891
-5.1040e-02,1.02734
-5.0960e-02,0.890625
-5.0880e-02,0.785156
-5.0800e-02,0.777344
-5.0720e-02,0.605469
-5.0640e-02,0.535156
-5.0560e-02,1.00781
-5.0480e-02,1.87109
-5.0400e-02,3.96094
-5.0320e-02,6.03125
-5.0240e-02,4.27344
-5.0160e-02,2.12109
-5.0080e-02,1.35547
-5.0000e-02,0.625
-4.9920e-02,0.707031
-4.9840e-02,0.511719
-4.9760e-02,0.535156
-4.9680e-02,0.75
-4.9600e-02,0.652344
-4.9520e-02,0.988281
-4.9440e-02,0.730469
-4.9360e-02,0.75
-4.9280e-02,0.6875
-4.9200e-02,0.75
-4.9120e-02,0.609375
-4.9040e-02,0.761719
-4.8960e-02,1.04297
-4.8880e-02,1.48438
-4.8800e-02,3.50391
-4.8720e-02,5.71484
-4.8640e-02,4.62891
-4.8560e-02,2.48828
-4.8480e-02,1.23828
-4.8400e-02,0.597656
-4.8320e-02,0.488281
-4.8240e-02,0.5
-4.8160e-02,0.546875
-4.8080e-02,0.546875
-4.8000e-02,0.796875
-4.7920e-02,1.12109
-4.7840e-02,0.839844
-4.7760e-02,0.855469
-4.7680e-02,0.644531
-4.7600e-02,0.714844
-4.7520e-02,0.644531
-4.7440e-02,0.644531
-4.7360e-02,1.08594
-4.7280e-02,1.96875
-4.7200e-02,3.86719
-4.7120e-02,5.66016
-4.7040e-02,4.26953
-4.6960e-02,2.08594
-4.6880e-02,1.14844
-4.6800e-02,0.820312
-4.6720e-02,0.488281
-4.6640e-02,0.546875
-4.6560e-02,0.609375
-4.6480e-02,0.546875
-4.6400e-02,0.742188
-4.6320e-02,1.00781
-4.6240e-02,0.898438
-4.6160e-02,0.652344
-4.6080e-02,0.6875
-4.6000e-02,0.644531
-4.5920e-02,0.5
-4.5840e-02,0.882812
-4.5760e-02,1.00781
-4.5680e-02,1.51172
-4.5600e-02,3.41016
-4.5520e-02,5.41797
-4.5440e-02,4.36328
-4.5360e-02,2.32031
-4.5280e-02,1.16406
-4.5200e-02,0.535156
-4.5120e-02,0.597656
-4.5040e-02,0.535156
-4.4960e-02,0.6875
-4.4880e-02,0.597656
-4.4800e-02,0.796875
-4.4720e-02,1.31641
-4.4640e-02,0.960938
-4.4560e-02,0.699219
-4.4480e-02,0.820312
-4.4400e-02,0.75
-4.4320e-02,0.457031
-4.4240e-02,0.628906
-4.4160e-02,1.10938
-4.4080e-02,1.75781
-4.4000e-02,3.60938
-4.3920e-02,5.47266
-4.3840e-02,4.17188
-4.3760e-02,1.90625
-4.3680e-02,1.15625
-4.3600e-02,1.04297
-4.3520e-02,0.6875
-4.3440e-02,0.546875
-4.3360e-02,0.4375
-4.3280e-02,0.5625
-4.3200e-02,0.546875
-4.3120e-02,0.820312
-4.3040e-02,0.90625
-4.2960e-02,0.707031
-4.2880e-02,0.667969
-4.2800e-02,0.546875
-4.2720e-02,0.6875
-4.2640e-02,0.535156
-4.2560e-02,0.671875
-4.2480e-02,1.24219
-4.2400e-02,3.26953
