Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH2
-1.338e-01,0.0186719
-1.336e-01,0.0139844
-1.334e-01,0.0180586
-1.333e-01,0.0153945
-1.331e-01,0.0197187
-1.330e-01,0.0150859
-1.328e-01,0.0120586
-1.326e-01,0.0142109
-1.325e-01,0.0155508
-1.323e-01,0.0141055
-1.322e-01,0.016332
-1.320e-01,0.0120703
-1.318e-01,0.0137187
-1.317e-01,0.0141172
-1.315e-01,0.0159766
-1.314e-01,0.0154844
-1.312e-01,0.0140117
-1.310e-01,0.0116328
-1.309e-01,0.0107852
-1.307e-01,0.0201016
-1.306e-01,0.0121562
-1.304e-01,0.0153516
-1.302e-01,0.0119609
-1.301e-01,0.00728516
-1.299e-01,0.00920703
-1.298e-01,0.0157734
-1.296e-01,0.00794141
-1.294e-01,0.0135742
-1.293e-01,0.0155547
-1.291e-01,0.0102578
-1.290e-01,0.0173281
-1.288e-01,0.0103906
-1.286e-01,0.00577734
-1.285e-01,0.0142148
-1.283e-01,0.0197578
-1.282e-01,0.00940625
-1.280e-01,0.0151719
-1.278e-01,0.0115352
-1.277e-01,0.0166602
-1.275e-01,0.00965234
-1.274e-01,0.0110859
-1.272e-01,0.0119609
-1.270e-01,0.00904297
-1.269e-01,0.0145898
-1.267e-01,0.0141836
-1.266e-01,0.0133516
-1.264e-01,0.0179844
-1.262e-01,0.0150078
-1.261e-01,0.0160898
-1.259e-01,0.0102773
-1.258e-01,0.00836719
-1.256e-01,0.0129961
-1.254e-01,0.0117578
-1.253e-01,0.0127031
-1.251e-01,0.00441406
-1.250e-01,0.0139102
-1.248e-01,0.009875
-1.246e-01,0.0121172
-1.245e-01,0.00903516
-1.243e-01,0.00661328
-1.242e-01,0.0120195
-1.240e-01,0.0107539
-1.238e-01,0.0106758
-1.237e-01,0.00533984
-1.235e-01,0.0139531
-1.234e-01,0.00367969
-1.232e-01,0.0108516
-1.230e-01,0.0131016
-1.229e-01,0.00590625
-1.227e-01,0.00886719
-1.226e-01,0.00780469
-1.224e-01,0.00715234
-1.222e-01,0.00252734
-1.221e-01,0.00358594
-1.219e-01,-0.00170703
-1.218e-01,0.00475391
-1.216e-01,0.00385547
-1.214e-01,0.000835937
-1.213e-01,-0.00100781
-1.211e-01,0.00217969
-1.210e-01,-0.00188672
-1.208e-01,0.000171875
-1.206e-01,0.00730078
-1.205e-01,0.000453125
-1.203e-01,0.000972656
-1.202e-01,-0.00397266
-1.200e-01,0.00046875
-1.198e-01,0.00207422
-1.197e-01,-0.00483203
-1.195e-01,0.00258594
-1.194e-01,-0.00194922
-1.192e-01,0.00453906
-1.190e-01,-0.00335547
-1.189e-01,-0.0094375
-1.187e-01,0.00116016
-1.186e-01,-0.00353906
-1.184e-01,-0.00663672
-1.182e-01,-0.00680859
-1.181e-01,-0.00810156
-1.179e-01,-0.00712109
-1.178e-01,-0.0046875
-1.176e-01,-0.0136484
-1.174e-01,-0.0111953
-1.173e-01,-0.00795312
-1.171e-01,-0.01325
-1.170e-01,-0.0137383
-1.168e-01,-0.0127812
-1.166e-01,-0.0215508
-1.165e-01,-0.0180352
-1.163e-01,-0.0186094
-1.162e-01,-0.0213633
-1.160e-01,-0.0224219
-1.158e-01,-0.0226484
-1.157e-01,-0.0206484
-1.155e-01,-0.0220547
-1.154e-01,-0.0252539
-1.152e-01,-0.0315742
-1.150e-01,-0.0291172
-1.149e-01,-0.028082
-1.147e-01,-0.028832
-1.146e-01,-0.032418
-1.144e-01,-0.0295742
-1.142e-01,-0.0377422
-1.141e-01,-0.0385781
-1.139e-01,-0.0340664
-1.138e-01,-0.0387422
-1.136e-01,-0.037918
-1.134e-01,-0.0423945
-1.133e-01,-0.0431914
-1.131e-01,-0.0420547
-1.130e-01,-0.0456289
-1.128e-01,-0.0431641
-1.126e-01,-0.0550586
-1.125e-01,-0.0543477
-1.123e-01,-0.0569687
-1.122e-01,-0.0535234
-1.120e-01,-0.0586406
-1.118e-01,-0.0553086
-1.117e-01,-0.0631172
-1.115e-01,-0.0666914
-1.114e-01,-0.0659609
-1.112e-01,-0.0607734
-1.110e-01,-0.0634648
-1.109e-01,-0.0717812
-1.107e-01,-0.0655742
-1.106e-01,-0.0676914
-1.104e-01,-0.0666406
-1.102e-01,-0.0751289
-1.101e-01,-0.0768281
-1.099e-01,-0.0749336
-1.098e-01,-0.0745391
-1.096e-01,-0.0796172
-1.094e-01,-0.0743437
-1.093e-01,-0.0845391
-1.091e-01,-0.0822266
-1.090e-01,-0.0799609
-1.088e-01,-0.0726797
-1.086e-01,-0.0798359
-1.085e-01,-0.0743437
-1.083e-01,-0.073918
-1.082e-01,-0.0804727
-1.080e-01,-0.0813633
-1.078e-01,-0.0735469
-1.077e-01,-0.0750391
-1.075e-01,-0.0717578
