Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH2
-1.338e-01,0.013623
-1.336e-01,0.0115137
-1.334e-01,0.0121582
-1.333e-01,0.0163281
-1.331e-01,0.0111914
-1.330e-01,0.0100879
-1.328e-01,0.00545898
-1.326e-01,0.00977539
-1.325e-01,0.0105957
-1.323e-01,0.0124414
-1.322e-01,0.00862305
-1.320e-01,0.0155957
-1.318e-01,0.015625
-1.317e-01,0.0121191
-1.315e-01,0.0113867
-1.314e-01,0.0156348
-1.312e-01,0.0121094
-1.310e-01,0.00992188
-1.309e-01,0.0130176
-1.307e-01,0.0183887
-1.306e-01,0.00938477
-1.304e-01,0.0119043
-1.302e-01,0.00426758
-1.301e-01,0.00599609
-1.299e-01,-0.00676758
-1.298e-01,-0.00322266
-1.296e-01,-0.00680664
-1.294e-01,-0.0140527
-1.293e-01,-0.0372168
-1.291e-01,-0.0328809
-1.290e-01,-0.035293
-1.288e-01,-0.043457
-1.286e-01,-0.0416504
-1.285e-01,-0.0520508
-1.283e-01,-0.0506641
-1.282e-01,-0.0514746
-1.280e-01,-0.046875
-1.278e-01,-0.0489941
-1.277e-01,-0.0404004
-1.275e-01,-0.0441211
-1.274e-01,-0.0376953
-1.272e-01,-0.0437891
-1.270e-01,-0.0383789
-1.269e-01,-0.0328711
-1.267e-01,-0.0431445
-1.266e-01,-0.0349023
-1.264e-01,-0.0338379
-1.262e-01,-0.035791
-1.261e-01,-0.0317578
-1.259e-01,-0.0293652
-1.258e-01,-0.0295313
-1.256e-01,-0.0301367
-1.254e-01,-0.0326758
-1.253e-01,-0.0252832
-1.251e-01,-0.0265137
-1.250e-01,-0.0279785
-1.248e-01,-0.026123
-1.246e-01,-0.0214746
-1.245e-01,-0.0158203
-1.243e-01,-0.0238477
-1.242e-01,-0.0196875
-1.240e-01,-0.0194043
-1.238e-01,-0.0234082
-1.237e-01,-0.0135059
-1.235e-01,-0.0188574
-1.234e-01,-0.0153418
-1.232e-01,-0.0174316
-1.230e-01,-0.0138379
-1.229e-01,-0.0135645
-1.227e-01,-0.0154297
-1.226e-01,-0.0112109
-1.224e-01,-0.0126855
-1.222e-01,-0.00916992
-1.221e-01,-0.0104688
-1.219e-01,-0.00151367
-1.218e-01,-0.0131836
-1.216e-01,-0.00615234
-1.214e-01,-0.0055957
-1.213e-01,-0.00259766
-1.211e-01,-0.00383789
-1.210e-01,-0.00357422
-1.208e-01,-0.00473633
-1.206e-01,-0.00224609
-1.205e-01,-0.00336914
-1.203e-01,-0.00200195
-1.202e-01,-0.000712891
-1.200e-01,-0.000351563
-1.198e-01,0.000625
-1.197e-01,-0.000703125
-1.195e-01,0.00445313
-1.194e-01,0.00263672
-1.192e-01,-0.00270508
-1.190e-01,-0.00015625
-1.189e-01,-0.00311523
-1.187e-01,-0.00239258
-1.186e-01,-0.00145508
-1.184e-01,-0.00327148
-1.182e-01,0.00238281
-1.181e-01,0.00446289
-1.179e-01,0.000410156
-1.178e-01,0.00679688
-1.176e-01,0.00105469
-1.174e-01,0.00361328
-1.173e-01,-0.000371094
-1.171e-01,-0.00461914
-1.170e-01,-0.00148438
-1.168e-01,0.00350586
-1.166e-01,0.00384766
-1.165e-01,0.00132813
-1.163e-01,0.00416016
-1.162e-01,0.000927734
-1.160e-01,0.00779297
-1.158e-01,0.00969727
-1.157e-01,0.0126953
-1.155e-01,0.00597656
-1.154e-01,0.0104492
-1.152e-01,0.010498
-1.150e-01,0.00441406
-1.149e-01,0.00858398
-1.147e-01,0.0090918
-1.146e-01,0.00267578
-1.144e-01,0.00620117
-1.142e-01,0.00470703
-1.141e-01,0.00834961
-1.139e-01,0.0108203
-1.138e-01,0.00895508
-1.136e-01,0.00551758
-1.134e-01,0.00813477
-1.133e-01,0.0101074
-1.131e-01,0.000751953
-1.130e-01,0.00713867
-1.128e-01,0.0106543
-1.126e-01,0.00603516
-1.125e-01,0.00825195
-1.123e-01,0.00411133
-1.122e-01,0.00158203
-1.120e-01,-0.00379883
-1.118e-01,0.0015625
-1.117e-01,-0.0116211
-1.115e-01,-0.0156934
-1.114e-01,-0.0203223
-1.112e-01,-0.0227344
-1.110e-01,-0.0168555
-1.109e-01,-0.0544238
-1.107e-01,-0.0565723
-1.106e-01,-0.0589941
-1.104e-01,-0.0645215
-1.102e-01,-0.0630371
-1.101e-01,-0.080459
-1.099e-01,-0.0759766
-1.098e-01,-0.0785645
-1.096e-01,-0.0736133
-1.094e-01,-0.0822559
-1.093e-01,-0.0810742
-1.091e-01,-0.0768945
-1.090e-01,-0.0784863
-1.088e-01,-0.0741113
-1.086e-01,-0.074834
-1.085e-01,-0.0716699
-1.083e-01,-0.064873
-1.082e-01,-0.064209
-1.080e-01,-0.0692773
-1.078e-01,-0.0599316
-1.077e-01,-0.0662402
