Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-1.338e-01,37.7432
-1.336e-01,37.9619
-1.334e-01,37.9424
-1.333e-01,37.9639
-1.331e-01,37.9209
-1.330e-01,37.916
-1.328e-01,38.1465
-1.326e-01,38.1211
-1.325e-01,38.1406
-1.323e-01,38.1621
-1.322e-01,38.1641
-1.320e-01,38.3623
-1.318e-01,38.3701
-1.317e-01,38.3232
-1.315e-01,38.2822
-1.314e-01,38.3809
-1.312e-01,38.3428
-1.310e-01,38.5078
-1.309e-01,38.5156
-1.307e-01,38.5205
-1.306e-01,38.499
-1.304e-01,38.5264
-1.302e-01,38.7422
-1.301e-01,38.7285
-1.299e-01,38.7578
-1.298e-01,38.7539
-1.296e-01,38.7686
-1.294e-01,38.9541
-1.293e-01,38.9336
-1.291e-01,38.9521
-1.290e-01,38.9658
-1.288e-01,38.9336
-1.286e-01,39.1416
-1.285e-01,39.1523
-1.283e-01,39.1123
-1.282e-01,39.1699
-1.280e-01,39.1123
-1.278e-01,39.1289
-1.277e-01,39.3916
-1.275e-01,39.3193
-1.274e-01,39.3252
-1.272e-01,39.3477
-1.270e-01,39.3701
-1.269e-01,39.5879
-1.267e-01,39.5957
-1.266e-01,39.5547
-1.264e-01,39.5625
-1.262e-01,39.5322
-1.261e-01,39.7012
-1.259e-01,39.7197
-1.258e-01,39.7168
-1.256e-01,39.6611
-1.254e-01,39.7549
-1.253e-01,39.917
-1.251e-01,39.9668
-1.250e-01,39.9473
-1.248e-01,39.9609
-1.246e-01,39.9795
-1.245e-01,39.9492
-1.243e-01,40.1318
-1.242e-01,40.1445
-1.240e-01,40.1572
-1.238e-01,40.1191
-1.237e-01,40.1963
-1.235e-01,40.3887
-1.234e-01,40.3672
-1.232e-01,40.3428
-1.230e-01,40.3369
-1.229e-01,40.4141
-1.227e-01,40.5537
-1.226e-01,40.5029
-1.224e-01,40.5342
-1.222e-01,40.5693
-1.221e-01,40.5674
-1.219e-01,40.7578
-1.218e-01,40.8076
-1.216e-01,40.7383
-1.214e-01,40.7676
-1.213e-01,40.7432
-1.211e-01,40.7725
-1.210e-01,40.9434
-1.208e-01,40.9502
-1.206e-01,40.9785
-1.205e-01,40.9502
-1.203e-01,40.9385
-1.202e-01,41.1719
-1.200e-01,41.1699
-1.198e-01,41.1104
-1.197e-01,41.0986
-1.195e-01,41.124
-1.194e-01,41.3926
-1.192e-01,41.3906
-1.190e-01,41.3516
-1.189e-01,41.3525
-1.187e-01,41.3906
-1.186e-01,41.5205
-1.184e-01,41.5723
-1.182e-01,41.6045
-1.181e-01,41.5723
-1.179e-01,41.5557
-1.178e-01,41.5625
-1.176e-01,41.7773
-1.174e-01,41.7432
-1.173e-01,41.7324
-1.171e-01,41.8037
-1.170e-01,41.7578
-1.168e-01,41.9629
-1.166e-01,41.959
-1.165e-01,41.9414
-1.163e-01,41.9795
-1.162e-01,41.9883
-1.160e-01,42.1328
-1.158e-01,42.2217
-1.157e-01,42.1533
-1.155e-01,42.1592
-1.154e-01,42.165
-1.152e-01,42.3682
-1.150e-01,42.3809
-1.149e-01,42.3926
-1.147e-01,42.3633
-1.146e-01,42.4092
-1.144e-01,42.3428
-1.142e-01,42.5322
-1.141e-01,42.5957
-1.139e-01,42.6045
-1.138e-01,42.5625
-1.136e-01,42.626
-1.134e-01,42.7695
-1.133e-01,42.7617
-1.131e-01,42.833
-1.130e-01,42.7969
-1.128e-01,42.8145
-1.126e-01,43.0059
-1.125e-01,42.9697
-1.123e-01,42.9775
-1.122e-01,42.9688
-1.120e-01,42.9912
-1.118e-01,43.1689
-1.117e-01,43.2012
-1.115e-01,43.1943
-1.114e-01,43.1924
-1.112e-01,43.1826
-1.110e-01,43.2197
-1.109e-01,43.3838
-1.107e-01,43.4219
-1.106e-01,43.3975
-1.104e-01,43.3906
-1.102e-01,43.3691
-1.101e-01,43.6104
-1.099e-01,43.5771
-1.098e-01,43.5859
-1.096e-01,43.5947
-1.094e-01,43.5957
-1.093e-01,43.834
-1.091e-01,43.7852
-1.090e-01,43.7988
-1.088e-01,43.7578
-1.086e-01,43.7803
-1.085e-01,44.0205
-1.083e-01,43.9902
-1.082e-01,44.0254
-1.080e-01,43.9951
-1.078e-01,44.0391
-1.077e-01,43.9775
-1.075e-01,44.2051
-1.074e-01,44.1982
-1.072e-01,44.25
-1.070e-01,44.2354
-1.069e-01,44.2227
-1.067e-01,44.3994
-1.066e-01,44.4482
-1.064e-01,44.4404
-1.062e-01,44.3926
-1.061e-01,44.4053
-1.059e-01,44.5615
-1.058e-01,44.583
-1.056e-01,44.6123
-1.054e-01,44.6406
-1.053e-01,44.6025
-1.051e-01,44.7578
-1.050e-01,44.8457
-1.048e-01,44.835
-1.046e-01,44.8086
-1.045e-01,44.7812
